unique_id,core_id,citing_title,citing_author,cited_title,cited_author,citation_context,citation_class_label
CC1,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Web search personalization with ontological user profiles","Sieg","They usually generate user models that describe user interests according to a set of features #AUTHOR_TAG",5
CC2,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Exploring Scholarly Data with Rexplore","Osborne","The Computer Science Ontology (CSO)[3]is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1]on the Rexplore dataset #AUTHOR_TAG.",0
CC3,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Klink-2: Integrating Multiple Web Sources to Generate Semantic Topic Networks","Osborne","In order to do so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #AUTHOR_TAG",0
CC4,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Forecasting the Spreading of Technologies in Research Communities","Osborne","This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework #AUTHOR_TAG, a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework [7], an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks",0
CC5,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Supporting Springer Nature Editors by means of Semantic Technologies","Osborne","It works according to three main steps:1) It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #AUTHOR_TAG to characterize each of them with a semantically enhanced topic vector",5
CC6,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","A multilayer ontology-based hybrid recommendation model","Cantador","#AUTHOR_TAG propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies",1
CC7,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","RecomMetz: A context-aware knowledge-based mobile recommender system for movie showtimes","Colombo-Mendoza","#AUTHOR_TAG propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies",1
CC8,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Ontology-Based User Modeling for Knowledge Management Systems","Razmerita","#AUTHOR_TAG describe OntobUM, an ontology-based recommender that integrates three ontologies: i) the user ontology, which structures the characteristics of users and their relationships, ii) the domain ontology, which defines the domain concepts and their relationships, and iii) the log ontology, which defines the semantics of the user interactions with the system",1
CC9,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Finding Experts By Semantic Matching of User Profiles","Thiagarajan","#AUTHOR_TAG use a different strategy by representing user profiles as bags-of-words and weighing each term according to the user interests derived from a domain ontology",5
CC10,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Ontological user profiling in recommender systems","Middleton","The main advantages of these solutions are i) the ability to exploit the domain knowledge for improving the user modelling process, ii) the ability to share and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16,#AUTHOR_TAG].",0
CC11,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Semantics-Aware Content-Based Recommender Systems","de Gemmis","With the advent of the Semantic Web, several recommender systems started to adopt ontologies for representing both user interests and items #AUTHOR_TAG",0
CC12,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Hybrid Web Recommender Systems","Burke","They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches #AUTHOR_TAG.Content-based recommender systems [15] rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like",0
CC13,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Content-based Recommender Systems: State of the Art and Trends","Lops","They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches [14].Content-based recommender systems #AUTHOR_TAG rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like",0
CC14,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Recommender Systems Handbook","Ricci","Related WorkRecommender systems are software tools and methods which provide suggestions for items to users, according to their preferences and needs #AUTHOR_TAG",0
CC15,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","CORE: Three Access Levels to Underpin Open Access","Knoth","We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations [11], and Core [#AUTHOR_TAG].",3
CC16,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Setting our bibliographic references free: towards open citation data","Peroni","We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations #AUTHOR_TAG, and Core [12].",3
CC17,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Term-weighting approaches in automatic text retrieval","Salton","We assess the similarity of two semantic vectors using the cosine similarity #AUTHOR_TAG, since this measure relies on the orientation but not the magnitude of the topic weights in the vector space, allowing us to compare editorial products associated with a different number of chapters",0
CC18,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Data integration and disintegration: Managing Springer Nature SciGraph with SHACL and OWL","Hammond","We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal [8] and recently migrated to SciGraph #AUTHOR_TAG",0
CC19,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","International Semantic Web Conference","Birukou","We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal #AUTHOR_TAG and recently migrated to SciGraph [9]",0
