Positioning Mbeya University of Science and Technology in Tanzania in the Systems of Innovation Perspective,Knowledge attitude and perception of epilepsy among traditional healers in Uyo,"Several studies that have involved the knowledge, attitude and perception of various issues have been conducted worldwide ( #AUTHOR_TAG et al., 2009;Adediwura &amp; Tayo, 2007;Anjum et al., 2008;Erhum et al., 2008;Tjakraatmadja et al., 2008)",1
Green Supply Chain Management Enablers: Mixed Methods Research,Green supply chain management practices impact on performance Supply Chain Management,"Realising the need to incorporate sustainability and the triple bottom line (Kleindorfer et al., 2005) as part of their strategic intent, companies focus on assessing the economic, environmental, and social impact of their activities and highlighting the relationship between sustainability and performance ( Leppelt et al., 2013;#AUTHOR_TAG et al., 2012;Burritt and Schaltegger, 2012;Subramanian and Gunasekaran, 2015)",0
Occupational Class Inequalities in All-Cause and Cause-Specific Mortality among Middle-Aged Men in 14 European Populations during the Early 2000s,Changing Social Equality The Nordic Welfare Model in the 21st Century,"These differences between the Nordic countries may reflect differences in the social patterning of behavioural risk factors [20], or differences in welfare state and labour market programmes and regulations that generate larger inequalities in mortality in some countries than in others #AUTHOR_TAG",0
Fast Algorithm for Partial Covers in Words,Computing the cover array in linear time,"#AUTHOR_TAG and Smyth [21] provided a lineartime algorithm for computing the maximal cover array of a word, and showed that, analogous to the border array [9], it actually determines the structure of all the covers of every prefix of the word.",0
"Parental Characteristics, Family Structure and Occupational Attainment in Britain",The Influence of Family Structure on Social Mobility Patterns Conceptual and Measurement Issues Paper presented at the ASA Annual Meeting,"#AUTHOR_TAG (2004) noted the scarcity, internationally, of research on social mobility variations according to family type (although see Biblarz and Raftery, 1999); more specifically, she noted an absence of attempts within mobility analyses to integrate both parents plus family type into conceptualizations of family of origin (#AUTHOR_TAG, 2003).",1
Design and implementation of pay for performance,The Provision of Incentives in Firms,"Several excellent surveys of this research are available (e.g., Gibbons 1998;Murphy 1999;#AUTHOR_TAG 1999;Bushman &amp; Smith 2001)",0
Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial,TNM classification of malignant tumours 6th edn,Assessment and follow-up Resection specimens were graded and classified according to the sixth UICC TNM system #AUTHOR_TAG,5
"Methodological considerations for the neurophenomenology of dreaming: commentary on Windt's ""Reporting dream experience""",Dreamed movement elicits activation in the sensorimotor cortex,"One such target group consists of proficient lucid dreamers who, being able to maintain awareness of their dream states, are asked to describe specific aspects of their dream experience (Fenwick et al., 1984;Lequerica, 1996;#AUTHOR_TAG et al., 2011)",5
A tale of tails uncertainty and the social cost of carbon dioxide,The marginal damage costs of carbon dioxide emissions an assessment of uncertainties,"21 #AUTHOR_TAG (2005) gathered over 100 estimates from 28 published studies and combined them to form a probability density function with a median of 4 $/tCO2, a mean of 25 $/tCO2, and a 95 th percentile of 95 $/tCO2",1
Social and interpersonal approaches to design for behaviour change,Introducing NLP Psychological Skills fo Understanding and Inuencing People,"It emphasises noticing the small but crucial signals that let you know how [others] are responding to your behaviour, and heightened awareness of your internal images, sounds and feelings when thinking (#AUTHOR_TAG), via patterns such asye accessing cues'watching others' eye movements as they think, with certain movements said to be associated with dierent`preferreddierent`preferred representational systems' ( thinking in pictures, sounds or feelings (#AUTHOR_TAG), or, for example, telling the truth versus lying.",0
Re-conceptualising the space of markets the case of the 2007-9 global financial crisis,Increasing returns and economic geography,"In an earlier period economic geographers sought to spatialise analysis of markets around orthodox neoclassical conceptions, and of course this branch of the sub-discipline has continued to develop within economics as the 'new economic geography' (#AUTHOR_TAG 1991;Fujita et al 1999;Fujita &amp; Thisse 2008)",0
Category learning in a dynamic world,Race preferences in children insights from South Africa,"For example, Black Xhosa children in South Africa prefer own-race faces if they live in a primarily Black township, but prefer higher-status race faces if they live in a racially diverse city (#AUTHOR_TAG et al., 2011)",0
